Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Peak Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Power (dB)	Delta Time (s)	File Offset (s)	Begin Path	Begin File	Class	Sound Type	Interval	Period	comments
1	Spectrogram 1	1	665.659898477	666.147208122	50.7	70.3	249.9	199.2		0.487	665.660	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	might be a complex
2	Spectrogram 1	1	668.719480054	668.909835384	31.9	228.5	349.5	317.6		0.190	668.719	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	unkn	knock	207	pre	
3	Spectrogram 1	1	669.549429293	669.640799851	39.5	210.9	357.0	317.6		0.091	669.549	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	unkn	knock	207	pre	
4	Spectrogram 1	1	672.511724778	672.671623256	22.6	117.2	223.6	201.1		0.160	672.512	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
5	Spectrogram 1	1	672.831521733	672.976191783	22.6	181.6	261.2	238.7		0.145	672.832	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
6	Spectrogram 1	1	673.280760311	673.440658789	47.0	93.8	261.2	214.2		0.160	673.281	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
7	Spectrogram 1	1	676.041982547	676.475992699	101.5	181.6	251.8	150.3		0.434	676.042	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	turn brightness to 40
8	Spectrogram 1	1	678.478530770	678.691728740	124.0	199.2	330.7	206.7		0.213	678.479	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	unkn	knock	207	pre	turn brightness to 40
9	Spectrogram 1	1	700.208867187	700.779933176	80.8	181.6	255.6	174.8		0.571	700.209	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	unkn	grunt	207	pre	turn brightness to 40
10	Spectrogram 1	1	704.716097474	704.929295444	47.0	210.9	296.9	249.9		0.213	704.716	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	turn brightness to 40
11	Spectrogram 1	1	723.258962542	723.411246806	28.2	123.0	225.5	197.3		0.152	723.259	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
12	Spectrogram 1	1	742.699480592	743.354302927	33.8	70.3	334.5	300.7		0.655	742.699	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	turn brightness to 40
13	Spectrogram 1	1	784.973919774	785.476457845	37.6	193.4	280.0	242.4		0.503	784.974	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	turn brightness to 40
14	Spectrogram 1	1	819.076630402	819.251757306	69.5	228.5	276.2	206.7		0.175	819.077	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	unkn	207	pre	turn brightness to 40
15	Spectrogram 1	1	830.254560729	830.384002353	118.4	240.2	374.0	255.6		0.129	830.255	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	unkn	knock	207	pre	turn brightness to 40
16	Spectrogram 1	1	831.769789155	834.244408444	16.9	228.5	332.6	315.7		2.475	831.770	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	grunt	207	pre	complex; turn brightness to 40
17	Spectrogram 1	1	835.015077464	835.174975941	84.6	187.5	484.8	400.3		0.160	835.015	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
18	Spectrogram 1	1	835.411016550	835.525229748	99.6	228.5	396.5	296.9		0.114	835.411	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	knock	207	pre	turn brightness to 40
19	Spectrogram 1	1	836.408478479	836.598833809	24.4	240.2	266.8	242.4		0.190	836.408	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	unkn	207	pre	turn brightness to 40
20	Spectrogram 1	1	836.743503860	836.964316043	16.9	240.2	270.6	253.7		0.221	836.744	/Volumes/SPERA_Rf_3_backup/RCA_IN_2020/quiet_period_1/5047.200420042313.wav	5047.200420042313.wav	fish	unkn	207	pre	turn brightness to 40
